EmployeeKey,ParentEmployeeKey,EmpNatIDAltKey,ParentEmpNatIDAltKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status,EmployeePhoto
1,18,14417807,NULL,11,Guy,Gilbert,R,0,Production Technician - WC60,2006-01-28,1981-11-12,adventure-works\guy1,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,0,M,1,12.4500,21,30,1,0,Production,2006-01-28,NULL,Current,0xFFD8FFE00010xD48685B921C
2,7,253022876,NULL,11,Kevin,Brown,F,0,Marketing Assistant,2006-08-26,1986-12-01,adventure-works\kevin0,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,0,M,2,13.4615,42,41,1,0,Marketing,2006-08-26,NULL,Current,0xFFD8FFE00010x9486290C45A
3,14,509647174,NULL,11,Roberto,Tamburello,NULL,0,Engineering Manager,2007-06-11,1974-06-12,adventure-works\roberto0,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,1,M,2,43.2692,2,21,1,0,Engineering,2007-06-11,NULL,Current,0xFFD8FFE00010xCC8D82715F3
4,3,112457891,NULL,11,Rob,Walters,NULL,0,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,2007-07-05,2009-12-28,NULL,0xFFD8FFE00010x00783D31935
5,3,112457891,NULL,11,Rob,Walters,NULL,0,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,2009-12-28,NULL,Current,0xFFD8FFE00010x00783D31935
6,267,480168528,NULL,11,Thierry,D'Hers,B,0,Tool Designer,2007-07-11,1959-02-26,adventure-works\thierry0,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,0,M,2,25.0000,9,24,1,0,Tool Design,2007-07-11,NULL,Current,0xFFD8FFE00010x15625CE073F
7,112,24756624,NULL,11,David,Bradley,M,0,Marketing Manager,2007-07-20,1974-10-17,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,1,M,2,37.5000,40,40,1,0,Marketing,2007-07-20,2009-02-11,NULL,0xFFD8FFE00010xA26F0EAC7D6
8,112,24756624,NULL,11,David,Bradley,M,0,Marketing Manager,2007-07-20,1974-10-17,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,1,M,2,37.5000,40,40,1,0,Marketing,2009-02-12,NULL,Current,0xFFD8FFE00010xA26F0EAC7D6
9,23,309738752,NULL,11,JoLynn,Dobney,M,0,Production Supervisor - WC60,2007-07-26,1955-08-16,adventure-works\jolynn0,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,0,F,2,25.0000,82,61,1,0,Production,2007-07-26,NULL,Current,0xFFD8FFE00010x07D377DDFA9
10,189,690627818,NULL,11,Ruth,Ellerbrock,Ann,0,Production Technician - WC10,2007-08-06,1956-01-03,adventure-works\ruth0,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,0,F,1,13.4500,83,61,1,0,Production,2007-08-06,NULL,Current,0xFFD8FFE00010xC258FD3C973
11,3,695256908,NULL,11,Gail,Erickson,A,0,Design Engineer,2007-08-06,1952-04-27,adventure-works\gail0,gail0@adventure-works.com,849-555-0139,M,Gail Erickson,849-555-0139,1,F,2,32.6923,5,22,1,0,Engineering,2007-08-06,NULL,Current,0xFFD8FFE00010xC517DA86971
